System	Subsystem	Description	BR_MCF7	BR_MDA_MB_231	BR_HS578T	BR_BT_549	BR_T_47D	CNS_SF_268	CNS_SF_295	CNS_SF_539	CNS_SNB_19	CNS_SNB_75	CNS_U251	CO_COLO205	CO_HCC_2998	CO_HCT_116	CO_HCT_15	CO_HT29	CO_KM12	CO_SW_620	LE_CCRF_CEM	LE_HL_60	LE_K_562	LE_MOLT_4	LE_RPMI_8226	LE_SR	ME_LOXIMVI	ME_MALME_3M	ME_M14	ME_SK_MEL_2	ME_SK_MEL_28	ME_SK_MEL_5	ME_UACC_257	ME_UACC_62	ME_MDA_MB_435	LC_A549_ATCC	LC_EKVX	LC_HOP_62	LC_HOP_92	LC_NCI_H226	LC_NCI_H23	LC_NCI_H322M	LC_NCI_H460	LC_NCI_H522	OV_IGROV1	OV_OVCAR_3	OV_OVCAR_4	OV_OVCAR_5	OV_OVCAR_8	OV_SK_OV_3	OV_NCIADR_RES	PR_PC_3	PR_DU_145	RE_786_0	RE_A498	RE_ACHN	RE_CAKI_1	RE_RXF393	RE_SN12C	RE_TK_10	RE_UO_31
NUCLEOTIDE METABOLISM	IMP SYNTHESIS - PURINE METABOLISM	Guanosine triphosphate synthesis (GTP)	577.8756606	1000	946.0087971	999.9997427	995.6106531	999.9999155	999.9996592	997.0635555	996.4884053	1000	996.3668136	958.979674	677.4360929	998.2945573	994.7770818	954.1229456	998.4011475	604.60994	997.3754208	997.2945094	1000	998.6143278	1000	999.9999247	996.3722581	997.2824024	999.7490436	999.9252878	585.0629859	696.3351823	999.9989128	1000	998.6781745	1000	1000	995.2698819	997.9897398	998.0198024	965.0106673	1000	999.9938826	998.8329515	999.9991261	996.5891146	994.2441309	1000	1000	1000	998.9311616	994.0444898	998.4851285	996.022307	997.7893589	994.2276667	999.9995932	553.0169333	1000	996.8453078	1000
NUCLEOTIDE METABOLISM	UMP SYNTHESIS	Uridine triphosphate synthesis (UTP)	1000	1070.445	32.63818913	1952.01	1548.25	1338.335	4724.697058	1000	3178.500594	2381.525	1486.645	1000	1768.87	2029.795	1069.57	1175.395841	1000	3494.920818	1900.985	1683.765	3430.495	1000	1000	1586.395	2717.48	2036.56	1000	3974.257979	1702.089304	725.0493037	1000	3288.855	1677.035	1000	1000	1275.51374	8228.544275	1615.75	1273.86	1712.735	1043.17	1000	1000	1287.585	1049.985	1330.325	1000	1516.295	5000	1352.364394	1841.35	2340.38	3806.730251	2040.64	5000	2376.077778	2878.315	1234.02	1831.445
NUCLEOTIDE METABOLISM	DEOXYNUCLEOTIDES SYNTHESIS	Deoxyadenosine triphosphate synthesis (dATP)	1000	1070.445	1001.146985	1952.01	1548.25	1338.335	1999.944772	1000	1998.019905	1998.885	1486.645	1000	1477.181666	1998.89108	136.3344575	997.8430497	1000	1181.346194	1900.985	1683.765	2000	1000	1000	1586.395	1997.507341	1998.305148	1000	1999.985023	866.5423993	1081.009684	1000	1999.51	1677.035	1000	1000	1596.855538	1998.907519	1615.75	1224.083603	1712.735	1043.17	1000	1000	1287.585	1049.985	1330.325	1000	1516.295	1999.361214	609.9073593	1841.35	1998.684643	1997.3782	929.7793443	1998.489728	888.3386603	2000	1234.02	1831.445
NUCLEOTIDE METABOLISM	DEOXYNUCLEOTIDES SYNTHESIS	Deoxycytidine triphosphate synthesis (dCTP)	1000	1070.445	32.63818913	1952.01	1548.25	1338.335	4724.697058	1000	3178.500594	2381.525	1486.645	1000	1768.87	2029.795	1069.57	1175.395841	1000	3494.920818	1900.985	1683.765	3430.495	1000	1000	1586.395	2717.48	2036.56	1000	3974.257979	1702.089304	725.0493037	1000	3288.855	1677.035	1000	1000	1275.51374	8228.544275	1615.75	1273.86	1712.735	1043.17	1000	1000	1287.585	1049.985	1330.325	1000	1516.295	5000	1352.364394	1841.35	2340.38	3806.730251	2040.64	5000	2376.077778	2878.315	1234.02	1831.445
NUCLEOTIDE METABOLISM	DEOXYNUCLEOTIDES SYNTHESIS	Deoxyguanosine triphosphate synthesis (dGTP)	540.7972441	1070.445	919.6630948	1952.01	1454.440178	1338.335	1999.944772	1000	1195.560771	1036.767424	1486.645	958.979674	677.4360928	1707.597533	396.0737993	817.7498846	1000	604.60994	1900.985	1683.765	2000	1000	1000	1586.395	1151.367927	1996.921393	1000	1649.574081	533.8712505	561.4726235	1000	1999.51	1677.035	1000	1000	1049.677686	1997.720276	1615.75	929.1280555	1712.735	1043.17	1000	1000	1076.909149	1049.985	1330.325	1000	1516.295	1998.789176	799.4169364	1841.35	1403.925191	997.7893589	1006.963794	1998.489728	353.7360462	2000	1234.02	1831.445
NUCLEOTIDE METABOLISM	DEOXYNUCLEOTIDES SYNTHESIS	Deoxyuridine triphosphate synthesis (dUTP)	1000	1070.445	32.63818913	1952.01	1548.25	1338.335	4724.697058	1000	3178.500594	2381.525	1486.645	1000	1768.87	2029.795	1069.57	1175.395841	1000	3494.920818	1900.985	1683.765	3430.495	1000	1000	1586.395	2717.48	2036.56	1000	3974.257979	1702.089304	725.0493037	1000	3288.855	1677.035	1000	1000	1275.51374	8228.544275	1615.75	1273.86	1712.735	1043.17	1000	1000	1287.585	1049.985	1330.325	1000	1516.295	5000	1352.364394	1841.35	2340.38	3806.730251	2040.64	5000	2376.077778	2878.315	1234.02	1831.445
NUCLEOTIDE METABOLISM	DEOXYNUCLEOTIDES SYNTHESIS	Deoxythymidine triphosphate synthesis (dTTP)	1000	1070.445	32.63818913	1952.01	1548.25	1338.335	4724.697058	1000	3178.500594	2381.525	1486.645	1000	1768.87	2029.795	1069.57	1175.395841	1000	3494.920818	1900.985	1683.765	3430.495	1000	1000	1586.395	2717.48	2036.56	1000	3974.264212	1702.089304	725.0493037	1000	3288.855	1677.035	1000	1000	1275.51374	8228.544275	1615.75	1273.86	1712.735	1043.17	1000	1000	1287.585	1049.985	1330.325	1000	1516.295	5000	1352.364394	1841.35	2340.38	3960.4	2040.64	5000	2376.077778	2878.315	1234.02	1831.445
NUCLEOTIDE METABOLISM	SALVAGE	AMP salvage from adenine	1000	1070.445	2437.656443	1952.01	1548.25	1338.335	6364.186508	1000	5183.025426	2381.525	1486.645	1000	1768.87	2029.795	1069.57	2172.277573	1000	1017.732265	1900.985	1683.765	3430.495	1000	1000	1586.395	2717.48	2036.56	1000	6096.470876	106.7784388	851.5776658	1000	3288.855	1677.035	1000	1000	2391.335	7723.4699	1615.75	1273.86	1712.735	1043.17	1000	1000	1287.585	1049.985	1330.325	1000	1516.295	5000	1817.365	1841.35	2340.38	3960.4	2040.64	5000	2108.324409	2878.315	1234.02	1831.445
NUCLEOTIDE METABOLISM	SALVAGE	IMP salvage from hypoxanthine	0	1070.445	707.6462001	1952.01	1548.25	1338.335	2769.318473	1000	2929.341068	2381.525	1486.645	1000	1244.420589	2029.795	1069.57	1029.85943	1000	1981.02693	1900.985	1683.765	3430.495	1000	1000	1586.395	1885.329192	2036.56	1000	3371.620035	1379.986413	648.5670693	1000	2270.9875	1677.035	1000	1000	2391.335	4987.937517	1615.75	1273.86	1712.735	1043.17	1000	1000	1287.585	1049.985	1330.325	1000	1516.295	4999.833122	1743.83677	1841.35	2340.38	3960.4	2040.64	4214.989266	1229.665646	2878.315	1234.02	1831.445
NUCLEOTIDE METABOLISM	SALVAGE	GMP salvage from guanine	680.9576362	1070.445	987.8635139	1952.01	1548.25	1338.335	2000.024659	1000	2642.449068	2381.525	1486.645	1000	1768.87	2029.795	1069.57	1975.838154	1000	1476.476091	1900.985	1683.765	3000	1000	1000	1586.395	2128.547536	2036.56	1000	1999.740198	1085.73942	218.2024819	1000	2000	1677.035	1000	1000	1995.264193	1997.987322	1615.75	1273.86	1712.735	1043.17	1000	1000	1287.585	1049.985	1330.325	1000	1516.295	2176.535649	1435.331649	1841.35	1995.927523	998.0483122	1994.220724	2499.430867	1203.057539	2878.315	1234.02	1831.445
NUCLEOTIDE METABOLISM	COFACTOR	3'-Phospho-5'-adenylyl sulfate synthesis	679.4846763	1000	3.93462121	1000	1000	1000	1000	978.6998409	1000	1000	1000	1000	1000	1000	172.7089379	958.1255123	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	611.7195748	92.39078179	1000	1000	1000	1000	1000	526.5158556	1000	1000	1000	1000	1000	1000	1000	408.224959	631.7930451	1000	1000	1000	1000	281.9037575	1000	1000	1000	1000	1000	368.4271072	1000	1000	1000
NUCLEOTIDE METABOLISM	PURINE CATABOLISM	Degradation of adenine to urate	0	0	0	0	0	0	0	0	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	0	0
NUCLEOTIDE METABOLISM	PURINE CATABOLISM	Degradation of guanine to urate	0	0	0	0	0	0	0	0	0	0	1000	0	0	0	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	0	0
NUCLEOTIDE METABOLISM	PYRIMIDINE CATABOLISM	Degradation of cytosine	1000	1000	15.48382574	1952.01	0	1338.335	860.1451329	1000	3656.487508	2000	1000	1000	631.3844151	2000	0	623.5613159	1000	2000	1000	1000	3000	1000	1000	0	2249.801114	2000	1000	1000	1825.990655	180.8981519	1000	1776.274971	0	0	1000	0	1000	1615.75	1000	1000	0	1000	1000	126.8894538	1049.985	1330.325	1000	1000	5000	0	1000	1000	2000	1000	1000	326.1587511	1999.97	1234.02	1831.445
NUCLEOTIDE METABOLISM	PYRIMIDINE CATABOLISM	Degradation of uracil	1000	1000	15.48382574	1952.01	0	1338.335	860.1451329	1000	3791.817364	2000	1000	1000	631.3844151	2000	546.5801382	623.5613159	1000	2000	1000	1000	3000	1000	1000	0	2249.801114	2000	1000	1000	1825.990655	180.929537	1000	1776.472034	0	0	1000	0	1000	1615.75	1000	1000	0	1000	1000	129.4994792	1049.985	1330.325	1000	1000	5000	0	1000	1000	2000	1000	1000	326.1587511	1999.97	1234.02	1831.445
CARBOHYDRATES METABOLISM	GLUCONEOGENESIS	Gluconeogenesis from pyruvate	1000	1070.445	2117.640133	1952.01	1548.25	1338.335	6092.115282	1000	2863.660111	2381.525	1486.645	1000	1768.87	2029.795	1069.57	2850.88	1000	2810.884528	1900.985	1683.765	3430.495	1000	1000	1586.395	2717.48	2036.56	1000	6002.474796	373.8116858	1592.560466	1000	3007.250172	1677.035	1000	1000	1551.151907	4999.929457	1615.75	1273.86	1712.735	1043.17	1000	1000	1287.585	637.3096958	1330.325	1000	1516.295	5000	1817.365	1841.35	2340.38	3960.4	2040.64	3000.405641	1811.808815	2878.315	1234.02	1831.445
CARBOHYDRATES METABOLISM	GLUCONEOGENESIS	Gluconeogenesis from Lactate	1000	1070.445	2117.640133	1952.01	1548.25	1338.335	6092.115282	1000	2853.672722	2381.525	1486.645	1000	1768.87	2029.795	1069.57	2850.88	1000	2810.884528	1900.985	1683.765	3430.495	1000	1000	1586.395	2717.48	2036.56	1000	6002.474796	373.8116858	1574.650203	1000	3007.250172	1677.035	1000	1000	1519.606627	4999.928577	1615.75	1273.86	1712.735	1043.17	1000	1000	1287.585	637.3096958	1330.325	1000	1516.295	5000	1817.365	1841.35	2340.38	3960.4	2040.64	3000.405641	1810.633043	2878.315	1234.02	1831.445
CARBOHYDRATES METABOLISM	GLUCONEOGENESIS	Gluconeogenesis from Glycerol	1000	1070.445	2094.110663	1952.01	1548.25	1338.335	6092.115282	1000	2761.09778	2381.525	1486.645	1000	1768.87	2029.795	1069.57	2850.88	1000	2810.884528	1900.985	1683.765	3430.495	1000	1000	1586.395	2295.555457	2036.56	1000	6002.474796	373.8116858	1176.560572	1000	3006.068382	1677.035	1000	1000	1046.591931	4999.926305	1615.75	1273.86	1712.735	1043.17	1000	1000	1287.585	621.4479287	1330.325	1000	1516.295	5000	1817.365	1841.35	2340.38	3960.4	2040.64	3000.405641	1288.735575	2878.315	1234.02	1831.445
CARBOHYDRATES METABOLISM	GLUCONEOGENESIS	Gluconeogenesis from Alanine	0	1070.445	2127.631876	1952.01	1548.25	1338.335	6092.115282	1000	2863.660111	2381.525	1486.645	1000	1768.87	2029.795	1069.57	2850.88	1000	2810.884528	1900.985	1683.765	3430.495	1000	1000	1586.395	2717.48	2036.56	1000	6002.474796	373.8116858	1528.368152	1000	3007.125985	1677.035	1000	1000	1530.214714	4999.927612	1615.75	1273.86	1712.735	1043.17	1000	1000	1287.585	644.5873402	1330.325	1000	1516.295	5000	1817.365	1841.35	2340.38	3960.4	2040.64	3000.405641	1673.694514	2878.315	1234.02	1831.445
CARBOHYDRATES METABOLISM	GLUCONEOGENESIS	Gluconeogenesis from Glutamine	1000	1070.445	20.99485419	1952.01	1548.25	1338.335	2332.687572	1000	2050.047659	2381.525	1486.645	1000	779.6185738	2029.795	1069.57	437.0631064	1000	2358.975281	1900.985	1683.765	3430.495	1000	1000	1586.395	1626.835296	2036.56	1000	2539.708318	995.2665433	226.0545582	1000	1767.679551	1677.035	1000	1000	320.3555355	4697.697267	1615.75	1273.86	1712.735	1043.17	1000	1000	1287.585	1049.985	1330.325	1000	1516.295	4999.198747	154.1824709	1841.35	1423.562974	2039.6	1223.954636	3824.092175	272.3263397	2878.315	1234.02	1831.445
CARBOHYDRATES METABOLISM	GLYCOLYSIS-GLUCONEOGENESIS	Ethanol to acetaldehyde	1000	1070.445	2535.531508	1952.01	1548.25	1338.335	4091.278696	1000	4998.019905	2381.525	1486.645	1000	1768.87	2029.795	1069.57	2850.88	1000	4000	1900.985	1683.765	3430.495	1000	1000	1586.395	2717.48	2036.56	1000	4000	4949.292557	3646.715	1000	3288.855	1677.035	1000	1000	2391.335	4998.907519	1615.75	1273.86	1712.735	1043.17	1000	1000	1287.585	1049.985	1330.325	1000	1516.295	4999.361214	1817.365	1841.35	2340.38	3960.4	2040.64	4035.128369	4519.902367	2878.315	1234.02	1831.445
CARBOHYDRATES METABOLISM	PYRUVATE METABOLISM	Glucose to lactate conversion	1000	1070.445	2.903640618	1952.01	1497.455	1338.335	674.205	1000	1653.385	1928.775	1486.645	1000	632.2070958	1993.875	1069.57	420.028732	1000	1522.310548	1900.985	1683.765	893.325	1000	1000	1586.395	1314.21	2036.56	1000	1567.1925	58.72932521	49.83861714	1000	747.385	1677.035	1000	1000	238.3428131	1140.31	1615.75	1273.86	1712.735	1043.17	1000	1000	1287.585	1049.985	1330.325	1000	1516.295	4000	154.1824709	1841.35	1292.156907	39.6	1103.987318	1864.69	268.7502391	1161.8	1234.02	1831.445
CARBOHYDRATES METABOLISM	PYRUVATE METABOLISM	Malate to pyruvate conversion	1000	1070.445	20.99485419	1952.01	1548.25	1338.335	2323.759003	1000	2015.593429	2381.525	1486.645	1000	632.2070957	2029.795	1069.57	437.0631064	1000	2193.245395	1900.985	1683.765	3430.495	1000	1000	1586.395	1392.849091	2036.56	1000	2524.399078	111.5999164	108.3936922	1000	1756.062069	1677.035	1000	1000	249.2949906	4697.301285	1615.75	1273.86	1712.735	1043.17	1000	1000	1287.585	1049.985	1330.325	1000	1516.295	4941.983274	154.1824709	1841.35	1423.562974	2039.6	1223.954636	3824.092175	272.3263397	2878.315	1234.02	1831.445
CARBOHYDRATES METABOLISM	PENTOSE PHOSPHATE PATHWAY	Synthesis of fructose-6-phosphate from erythrose-4-phosphate (HMP shunt)	1000	1070.445	1930.044486	1952.01	1548.25	1338.335	2000	1000	2000	2000	1486.645	1000	1768.87	2000	1069.57	1468.45665	1000	2000	1900.985	1683.765	2000	1000	1000	1586.395	2000	2000	1000	2000	283.1591076	1996.390737	1000	2000	1677.035	1000	1000	2000	2000	1615.75	1273.86	1712.735	1043.17	1000	1000	1287.585	1049.985	1330.325	1000	1516.295	2000	1430.815496	1841.35	2000	2000	2000	2000	2000	2000	1234.02	1831.445
CARBOHYDRATES METABOLISM	PENTOSE PHOSPHATE PATHWAY	Synthesis of ribose-5-phosphate	1000	1070.445	2985.104307	1952.01	1548.25	1338.335	4999.999999	1000	2683.594512	2381.525	1486.645	1000	1114.588274	2029.795	1069.57	1394.695581	1000	1922.415425	1900.985	1683.765	3430.495	1000	1000	1586.395	1831.675095	2036.56	1000	3499.99982	1601.238135	360.8261703	1000	3288.855	1677.035	1000	1000	316.4835634	5132.052219	1615.75	1273.86	1712.735	1043.17	1000	1000	1287.585	1049.985	1330.325	1000	1516.295	4499.997429	399.7085339	1841.35	2340.38	3960.4	2040.64	4999.999999	1078.409458	2878.315	1234.02	1831.445
CARBOHYDRATES METABOLISM	GALACTOSE METABOLISM	Synthesis of lactose	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500	0	0	0	0	0	0	0	0	0	0	0	0
CARBOHYDRATES METABOLISM	GLYCOGEN METABOLISM	Glycogen biosynthesis	181.7590602	188.2222726	284.7635704	359.2736339	231.6135659	303.4849992	272.8534718	0	182.4667489	181.9964952	4.48E-15	91.64387244	105.6144028	182.521092	188.0880677	145.6401211	181.8014493	283.7829859	-2.58E-15	0	363.6150116	-2.09E-14	272.7272727	181.8122727	347.3237723	364.2289915	181.8799636	91.47000561	92.28172284	-5.25E-15	181.8181714	91.00136364	182.7843893	181.8181818	181.8181796	169.6101892	182.7293441	237.7764005	158.9416805	246.6122713	159.5374828	0	272.7107087	91.70887886	186.3068881	181.796435	5.07E-27	228.7540909	1.17E-14	256.0617645	1.10E-14	182.7705629	273.4313327	183.2234756	272.8841943	285.0961961	181.8081818	182.9099118	181.8291747
CARBOHYDRATES METABOLISM	GLYCOGEN METABOLISM	Glycogen degradation	1000	1070.445	3000.531872	1952.01	1548.25	1338.335	6092.115282	1000	2998.0678	2381.525	1486.645	1000	1768.87	2029.795	1069.57	2850.88	1000	4824.844932	1900.985	1683.765	3430.495	1000	1000	1586.395	2717.48	2036.56	1000	6002.474796	1999.31876	1176.00159	1000	3007.250172	1677.035	1000	1000	2391.335	4999.975253	1615.75	1273.86	1712.735	1043.17	1000	1000	1287.585	1049.985	1330.325	1000	1516.295	5000	1817.365	1841.35	2340.38	3960.4	2040.64	3000.405641	2998.49033	2878.315	1234.02	1831.445
CARBOHYDRATES METABOLISM	FRUCTOSE METABOLISM	Fructose degradation (to glucose-3-phosphate)	1000	1070.445	2629.04397	1952.01	1548.25	1338.335	3124.837982	1000	2490.85544	2381.525	1486.645	1000	1114.588275	2029.795	1069.57	1394.602846	1000	1742.675982	1900.985	1683.765	3430.495	1000	1000	1586.395	1748.991172	2036.56	1000	3105.040064	555.1913769	218.1789843	1000	3288.855	1677.035	1000	1000	316.4449276	4395.032032	1615.75	1273.86	1712.735	1043.17	1000	1000	1287.585	1049.985	1330.325	1000	1516.295	4710.079516	399.536617	1841.35	2340.38	3013.173604	1896.601869	5000	1077.525078	2878.315	1234.02	1831.445
CARBOHYDRATES METABOLISM	FRUCTOSE METABOLISM	Fructose to glucose conversion (via fructose-6-phosphate)	1000	1070.445	2776.828087	1952.01	1548.25	1338.335	6092.115293	1000	2773.832944	2381.525	1486.645	1000	1768.87	2029.795	1069.57	2850.88	1000	3810.884528	1900.985	1683.765	3430.495	0	1000	1586.395	2717.48	2036.56	1000	6093.496518	1373.811686	2176.332698	1000	3288.855	1677.035	1000	1000	1829.392286	5999.923175	1615.75	1273.86	1712.735	1043.17	1000	1000	1287.585	1049.985	1330.325	1000	1516.295	5000	1817.365	1841.35	2340.38	3960.4	2040.64	4000.405641	2278.79811	2878.315	1234.02	1831.445
