System	Subsystem	Description	RE_786_0	RE_A498	LC_A549_ATCC	RE_ACHN	OV_NCIADR_RES	BR_BT_549	RE_CAKI_1	LE_CCRF_CEM	CO_COLO205	PR_DU_145	LC_EKVX	CO_HCC_2998	CO_HCT_15	CO_HCT_116	LE_HL_60	LC_HOP_62	LC_HOP_92	BR_HS578T	CO_HT29	OV_IGROV1	LE_K_562	CO_KM12	ME_LOXIMVI	ME_M14	ME_MALME_3M	BR_MCF7	BR_MDA_MB_231	ME_MDA_MB_435	LE_MOLT_4	LC_NCI_H23	LC_NCI_H226	OV_OVCAR_3	LC_NCI_H322M	LC_NCI_H460	LC_NCI_H522	OV_OVCAR_4	OV_OVCAR_5	OV_OVCAR_8	PR_PC_3	LE_RPMI_8226	RE_RXF393	CNS_SF_268	CNS_SF_295	CNS_SF_539	ME_SK_MEL_2	ME_SK_MEL_5	ME_SK_MEL_28	OV_SK_OV_3	RE_SN12C	CNS_SNB_19	CNS_SNB_75	LE_SR	CO_SW_620	BR_T_47D	RE_TK_10	CNS_U251	ME_UACC_62	ME_UACC_257	RE_UO_31
NUCLEOTIDE METABOLISM	SALVAGE	IMP salvage from hypoxanthine	14.92549931	12.18741031	15.11754504	15.86519431	13.05799014	13.99707564	14.90597651	16.02313212	16.08031208	13.52061158	13.88861609	16.19001427	15.42674357	16.38279818	16.47506711	15.60253692	14.39007496	13.20592596	15.75755038	15.31053646	16.53655458	15.2325056	16.24010875	13.81965687	14.20124518	14.92955553	15.66075141	15.33686725	16.08279059	15.96798188	14.28199157	14.34807176	16.01289163	14.92628621	16.05192077	13.86510247	15.56581637	16.03993399	14.03465971	15.11609387	13.70489007	15.46866275	13.8050818	12.40400379	14.38686326	14.82083023	14.01517729	13.1378097	15.88759744	14.27734609	13.23713386	16.0038131	15.99797094	12.31918995	12.6559336	14.68126048	13.00055903	14.81986755	14.4881708
NUCLEOTIDE METABOLISM	SALVAGE	GMP salvage from guanine	14.92549931	12.18741031	15.11754504	15.86519431	13.05799014	13.99707564	14.90597651	16.02313212	16.08031208	13.52061158	13.88861609	16.19001427	15.42674357	16.38279818	16.47506711	15.60253692	14.39007496	13.20592596	15.75755038	15.31053646	16.53655458	15.2325056	16.24010875	13.81965687	14.20124518	14.92955553	15.66075141	15.33686725	16.08279059	15.96798188	14.28199157	14.34807176	16.01289163	14.92628621	16.05192077	13.86510247	15.56581637	16.03993399	14.03465971	15.11609387	13.70489007	15.46866275	13.8050818	12.40400379	14.38686326	14.82083023	14.01517729	13.1378097	15.88759744	14.27734609	13.23713386	16.0038131	15.99797094	12.32096224	12.6559336	14.68126048	13.00055903	14.81986755	14.4881708
NUCLEOTIDE METABOLISM	COFACTOR	3'-Phospho-5'-adenylyl sulfate synthesis	19.48594614	18.80049435	19.6381489	19.3141496	19.25313048	18.6837845	19.23792011	19.50642171	20.42048184	19.56799303	19.61122033	19.83575187	20.13656868	20.24167196	20.18553498	18.99439277	18.84481828	19.01291269	19.71445006	19.45077494	20.66317065	20.14156278	19.77056717	19.33024868	19.0506507	20.25927667	19.06526258	19.65578989	19.57904942	19.89327583	19.53676648	19.63084654	19.72533928	19.88113077	19.8547557	19.71865678	18.9496895	19.84697914	19.53621477	19.99899388	18.09749146	19.66331374	19.43473415	18.90432688	18.55706404	20.31380511	19.36910687	18.18353565	19.34142297	19.56847248	18.53043009	19.67955405	20.15232861	20.1796299	18.17534963	19.80450652	19.9283224	19.71131626	18.99116067
NUCLEOTIDE METABOLISM	PURINE CATABOLISM	Degradation of adenine to urate	8.120265298	5.016190778	7.32103023	6.510498675	6.787985898	4.438910797	6.975385354	6.732294158	7.051468756	7.050669797	5.531876867	8.89065496	7.684351035	8.252278525	8.649943255	8.055684428	7.117322508	4.475598174	6.955047501	8.110498	7.536489804	8.20582719	7.129427526	6.101354136	4.330280725	7.337056302	6.33514303	6.888463486	7.484146654	6.930190402	5.474107435	6.719338452	6.70515449	8.118228593	6.73620633	6.495154508	7.577577903	6.895458002	9.064080886	8.198222659	4.174899501	6.30853987	6.957692	5.727766121	5.967098423	6.735073617	1.630014709	5.428046584	6.221744071	4.770792948	3.491894849	9.860723815	6.388405355	5.624265435	6.756007185	6.16732979	7.423995775	5.212404812	6.239239813
NUCLEOTIDE METABOLISM	PURINE CATABOLISM	Degradation of guanine to urate	21.05429404	20.9164036	21.3920168	20.38100294	20.70426831	20.72822327	21.00165746	21.63933728	21.43990909	20.87948422	20.88610627	21.27224775	21.58145736	21.54522907	22.21346087	20.83667063	20.73683553	21.09444929	21.35543276	21.09977187	21.49410353	20.92342477	21.36773162	21.23497756	20.76775347	21.54526018	21.32842632	21.7670592	22.00348234	21.18363506	20.58714024	21.85545035	21.12235114	21.54046814	21.46823319	21.21980951	21.36680875	21.18825656	20.97682286	21.73786228	20.56681819	21.21260005	21.60596758	20.89344538	21.69832992	21.8608999	21.19080079	20.81514065	21.00636172	21.32072074	20.57974493	21.45614948	21.80113182	21.15174842	20.38100294	21.4366653	21.30180075	21.28017918	20.52854087
NUCLEOTIDE METABOLISM	PYRIMIDINE CATABOLISM	Degradation of cytosine	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NUCLEOTIDE METABOLISM	PYRIMIDINE CATABOLISM	Degradation of uracil	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CARBOHYDRATES METABOLISM	GLUCONEOGENESIS	Gluconeogenesis from pyruvate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CARBOHYDRATES METABOLISM	GLUCONEOGENESIS	Gluconeogenesis from Lactate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CARBOHYDRATES METABOLISM	GLUCONEOGENESIS	Gluconeogenesis from Glycerol	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CARBOHYDRATES METABOLISM	GLUCONEOGENESIS	Gluconeogenesis from Alanine	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CARBOHYDRATES METABOLISM	GLUCONEOGENESIS	Gluconeogenesis from Glutamine	11.565	11.32210922	11.565	11.565	11.565	11.565	11.565	11.565	11.565	11.565	11.565	11.565	11.565	11.565	11.565	11.565	11.565	11.46867176	11.565	11.565	11.565	11.565	11.565	11.565	11.565	11.565	11.565	11.565	11.565	11.565	11.565	11.565	11.565	11.565	11.565	11.565	11.565	11.565	11.565	11.565	11.14100294	11.565	11.565	11.565	11.40977942	11.565	11.565	11.565	11.565	11.565	11.565	11.565	11.565	11.565	11.565	11.565	11.565	11.565	11.565
CARBOHYDRATES METABOLISM	GLYCOLYSIS-GLUCONEOGENESIS	Ethanol to acetaldehyde	31.53363901	27.70427873	32.43468582	30.239641	28.72158593	30.97240104	30.83659022	34.28451342	34.37508704	28.89392868	30.50378216	32.78346933	34.72539645	34.46924757	34.82319565	31.2669727	30.83063035	30.04440518	33.10386164	32.08241876	35.06711472	32.25065032	32.40172465	31.78600531	31.0395441	34.62859409	32.48664154	33.14499638	34.59084715	31.98083266	29.6155062	33.6660176	32.56506139	33.56065075	33.86074529	29.86388643	32.30683663	32.06666891	31.25859487	32.16376672	29.06748371	32.8389269	33.212438	28.51136461	31.04401069	34.42128914	29.0751842	29.13820164	30.66591824	33.12861439	30.13353362	32.60741961	34.14479069	31.46581151	25.66747481	33.80509645	32.12680035	32.75291574	29.25020175
CARBOHYDRATES METABOLISM	PYRUVATE METABOLISM	Glucose to lactate conversion	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CARBOHYDRATES METABOLISM	PYRUVATE METABOLISM	Malate to pyruvate conversion	11.565	11.32210922	11.565	11.565	11.565	11.565	11.565	11.565	11.565	11.565	11.565	11.565	11.565	11.565	11.565	11.565	11.565	11.46867176	11.565	11.565	11.565	11.565	11.565	11.565	11.565	11.565	11.565	11.565	11.565	11.565	11.565	11.565	11.565	11.565	11.565	11.565	11.565	11.565	11.565	11.565	11.14100294	11.565	11.565	11.565	11.40977942	11.565	11.565	11.565	11.565	11.565	11.565	11.565	11.565	11.565	11.565	11.565	11.565	11.565	11.565
CARBOHYDRATES METABOLISM	PENTOSE PHOSPHATE PATHWAY	Synthesis of fructose-6-phosphate from erythrose-4-phosphate (HMP shunt)	5.386786063	1.322755717	5.689814499	7.61773778	2.503869185	4.023118752	5.446721677	8.765111468	7.221337506	2.947515647	3.476188008	7.553327514	6.134240465	8.221028912	10.27800883	7.114219414	4.668787919	2.990508292	6.80645774	6.093335243	8.032849899	5.79827049	8.763297622	3.461917089	4.249991894	5.177136961	7.724934572	6.099608751	10.1399092	7.112398073	4.2438533	4.326368297	7.258577561	5.34283403	7.303282865	4.009972117	6.842446091	7.254818702	3.791032676	5.58146719	3.721930395	6.354427862	3.418137445	1.628973373	4.773312661	5.010855264	3.795526067	2.668202122	7.555883388	4.198023711	2.81334352	8.23572706	7.216248244	0.978008826	1.799534847	4.886277032	2.156326573	5.110257016	4.789262512
CARBOHYDRATES METABOLISM	PENTOSE PHOSPHATE PATHWAY	Synthesis of ribose-5-phosphate	10.81365833	5.677568637	10.16593748	10.31936757	8.039920491	6.450470173	9.698746193	11.11484989	10.66213751	8.524427621	7.269970871	12.66731872	10.75147127	12.36279298	13.78894767	11.61279414	10.25240681	6.422034334	10.35827637	11.15716562	11.55291475	11.10496243	11.51107634	7.83231268	6.455276672	9.925624782	10.75016813	9.938267861	12.55410125	10.48638944	8.084554025	8.8825226	10.33444327	10.78964561	10.38784776	8.500140567	10.99880095	10.52286735	10.95959722	10.98895625	6.035864699	9.485753801	8.666760723	6.709934374	8.353754753	9.240501249	3.201774801	6.762147645	10.26474967	7.902226725	4.898566609	13.97858735	9.996529477	6.113269848	7.655774608	8.610468306	8.502159062	7.76753332	8.633871069
CARBOHYDRATES METABOLISM	GALACTOSE METABOLISM	Synthesis of lactose	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CARBOHYDRATES METABOLISM	GLYCOGEN METABOLISM	Glycogen biosynthesis	2.156357749	2.116547988	2.231632175	1.98203476	1.958260869	2.024641479	2.000611622	2.334606988	2.330319474	2.080901421	1.996604812	2.157908025	2.356171925	2.336278454	2.265343113	2.137792097	1.975865762	2.172571734	2.274513734	2.198626814	2.404079234	2.272737044	2.265712814	2.055918899	1.958648967	2.248384938	2.317809698	2.197816979	2.27494875	2.266112184	1.946508001	2.206203085	2.242654107	2.235730431	2.324034114	1.870614198	2.214444397	2.268121403	2.039493725	2.02578149	2.014013605	2.360869841	2.239960279	2.077620267	1.960377278	2.063739578	2.161638447	2.010666711	2.220583699	2.283369454	2.069435205	2.401735613	2.237907482	2.056780038	1.734490988	2.21706232	2.022237527	2.23962945	2.048246656
CARBOHYDRATES METABOLISM	GLYCOGEN METABOLISM	Glycogen degradation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CARBOHYDRATES METABOLISM	FRUCTOSE METABOLISM	Fructose degradation (to glucose-3-phosphate)	44.20421574	42.23691486	44.15718426	43.77450225	42.99232748	42.25662478	43.26285515	45.40668462	46.60572752	43.29341402	44.10341849	45.36148831	45.3159488	45.71487457	46.64843917	43.92231329	43.56304607	41.55919072	44.9400232	44.89810364	46.6966601	45.0038311	45.70034903	43.12135413	42.18910575	44.90823903	44.0035496	44.16397757	45.34950243	45.13480961	43.42524644	43.99232681	44.44042214	44.51950443	44.68351048	43.82794867	44.07935316	45.1152651	44.1499854	44.35199383	41.11335859	44.31961389	44.54190399	42.70296298	42.40343464	44.93544617	41.53834312	41.60105066	43.27448179	43.73264742	40.93036572	45.32522195	45.00795738	43.90661908	40.60248349	44.35302838	43.56587787	44.23904317	43.58375171
CARBOHYDRATES METABOLISM	FRUCTOSE METABOLISM	Fructose to glucose conversion (via fructose-6-phosphate)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CARBOHYDRATES METABOLISM	NUCLEOTIDE SUGAR	UDP-glucose synthesis	6.564443662	6.435577374	6.599127579	6.462182722	6.42327074	6.466905902	6.477752239	6.676437668	6.657960329	6.4999673	6.478294538	6.543409751	6.710074603	6.653160537	6.589682453	6.53552733	6.457440237	6.509121773	6.629720533	6.595048888	6.689312868	6.623009715	6.647793898	6.514942465	6.481927432	6.637154902	6.683690253	6.580297445	6.62145965	6.621878147	6.454884217	6.583367219	6.610694891	6.593265945	6.662724636	6.440255163	6.596628668	6.620764783	6.495450526	6.506774694	6.37535156	6.722085549	6.613248452	6.466924411	6.406298248	6.526714549	6.627046253	6.395175517	6.596573344	6.660287475	6.494258864	6.735472329	6.58501602	6.448900655	6.300867047	6.596797434	6.462234897	6.646460078	6.511179588
